Graph1 Name;Graph2 Name;Graph1 nb nodes;Graph2 nb nodes;Graph1 nb edges;Graph2 nb edges;Method;Param; distance;optimal solution found;Class Graph1;Class Graph2;matching
;;;;;;;;;;;;
molecule_3074.gxl;molecule_3074.gxl;20;20;19;19;BeamSearch GED;100; 0.000;false;mutagen;mutagen;Edge:1_<>3->1_<>3=0.0/Edge:3_<>10->3_<>10=0.0/Edge:12_<>18->12_<>18=0.0/Node:18->18=0.0/Node:15->15=0.0/Node:20->20=0.0/Node:10->10=0.0/Edge:3_<>9->3_<>9=0.0/Node:14->14=0.0/Edge:3_<>8->3_<>8=0.0/Node:2->2=0.0/Edge:1_<>4->1_<>4=0.0/Edge:2_<>5->2_<>5=0.0/Node:19->19=0.0/Edge:1_<>13->1_<>13=0.0/Node:4->4=0.0/Node:5->5=0.0/Node:13->13=0.0/Edge:1_<>2->1_<>2=0.0/Edge:11_<>15->11_<>15=0.0/Edge:4_<>14->4_<>14=0.0/Node:9->9=0.0/Node:17->17=0.0/Edge:6_<>12->6_<>12=0.0/Edge:5_<>11->5_<>11=0.0/Node:8->8=0.0/Edge:12_<>19->12_<>19=0.0/Edge:11_<>16->11_<>16=0.0/Edge:11_<>17->11_<>17=0.0/Node:3->3=0.0/Edge:12_<>20->12_<>20=0.0/Node:12->12=0.0/Edge:2_<>6->2_<>6=0.0/Node:6->6=0.0/Edge:2_<>7->2_<>7=0.0/Node:16->16=0.0/Node:1->1=0.0/Node:11->11=0.0/Node:7->7=0.0/
molecule_3074.gxl;molecule_3131.gxl;20;20;19;21;BeamSearch GED;10;51.700;false;mutagen;mutagen;Edge:eps_id->11_<>17=0.8250000000000001/Edge:2_<>7->eps_id=0.8250000000000001/Node:11->12=0.0/Node:14->14=0.0/Edge:3_<>8->2_<>5=0.0/Edge:11_<>15->12_<>18=0.0/Node:2->3=5.5/Edge:1_<>13->eps_id=0.8250000000000001/Edge:eps_id->5_<>11=0.8250000000000001/Node:6->7=5.5/Node:18->15=0.0/Node:19->16=0.0/Node:16->19=0.0/Edge:3_<>9->2_<>6=0.0/Edge:1_<>3->1_<>2=0.0/Node:3->2=0.0/Edge:2_<>6->3_<>7=0.0/Edge:4_<>14->eps_id=0.8250000000000001/Edge:eps_id->9_<>10=0.8250000000000001/Node:12->10=0.0/Node:9->6=5.5/Edge:1_<>4->1_<>4=0.0/Edge:eps_id->5_<>10=0.8250000000000001/Node:13->13=0.0/Node:5->8=0.0/Edge:12_<>20->eps_id=0.8250000000000001/Edge:2_<>5->3_<>8=0.0/Edge:11_<>17->12_<>20=0.0/Node:7->11=5.5/Edge:eps_id->6_<>7=0.8250000000000001/Edge:eps_id->4_<>9=0.8250000000000001/Node:20->17=0.0/Node:17->20=0.0/Edge:1_<>2->1_<>3=0.0/Edge:eps_id->11_<>16=0.8250000000000001/Edge:12_<>18->10_<>15=0.0/Edge:12_<>19->eps_id=0.8250000000000001/Node:15->18=0.0/Edge:6_<>12->eps_id=0.8250000000000001/Node:10->9=5.5/Node:4->4=5.5/Edge:5_<>11->8_<>12=0.0/Edge:eps_id->9_<>14=0.8250000000000001/Edge:eps_id->4_<>13=0.8250000000000001/Node:8->5=5.5/Edge:3_<>10->eps_id=0.8250000000000001/Node:1->1=0.0/Edge:11_<>16->12_<>19=0.0/
molecule_3074.gxl;molecule_3146.gxl;20;20;19;20;BeamSearch GED;10;47.025;false;mutagen;mutagen;Edge:2_<>7->eps_id=0.8250000000000001/Node:11->11=0.0/Node:14->12=5.5/Edge:3_<>8->2_<>5=0.0/Edge:11_<>15->11_<>18=0.0/Node:2->4=5.5/Edge:1_<>13->eps_id=0.8250000000000001/Node:6->9=0.0/Node:18->15=0.0/Edge:eps_id->3_<>7=0.8250000000000001/Node:19->16=0.0/Node:16->19=0.0/Edge:eps_id->12_<>14=0.8250000000000001/Edge:3_<>9->2_<>6=0.0/Edge:1_<>3->1_<>2=0.0/Node:3->2=0.0/Edge:2_<>6->4_<>9=0.0/Edge:4_<>14->12_<>13=0.0/Node:12->3=0.0/Edge:eps_id->7_<>12=0.8250000000000001/Node:9->6=5.5/Edge:eps_id->10_<>17=0.8250000000000001/Edge:1_<>4->eps_id=0.8250000000000001/Node:13->17=0.0/Node:5->8=0.0/Edge:eps_id->5_<>10=0.8250000000000001/Edge:12_<>20->eps_id=0.8250000000000001/Edge:2_<>5->4_<>8=0.0/Edge:11_<>17->11_<>20=0.0/Node:7->14=0.0/Edge:eps_id->7_<>10=0.8250000000000001/Edge:eps_id->5_<>16=0.8250000000000001/Node:20->10=5.5/Node:17->20=0.0/Edge:1_<>2->1_<>4=0.0/Edge:12_<>18->3_<>15=0.0/Edge:12_<>19->eps_id=0.8250000000000001/Edge:6_<>12->eps_id=0.8250000000000001/Node:15->18=0.0/Node:10->7=5.5/Edge:eps_id->1_<>3=0.8250000000000001/Node:4->13=0.0/Edge:5_<>11->eps_id=0.8250000000000001/Node:8->5=5.5/Edge:3_<>10->eps_id=0.8250000000000001/Node:1->1=0.0/Edge:eps_id->6_<>11=0.8250000000000001/Edge:11_<>16->11_<>19=0.0/
molecule_3074.gxl;molecule_3353.gxl;20;20;19;19;Distributed GED;-;38.225;false;mutagen;mutagen;Node:20->16=0.0/Edge:11_<>15->8_<>17=0.0/Node:2->10=5.5/Edge:2_<>6->10_<>11=0.0/Edge:12_<>18->9_<>20=0.0/Edge:11_<>17->8_<>19=0.0/Node:16->18=0.0/Edge:eps_id->5_<>9=0.8250000000000001/Node:8->1=5.5/Edge:3_<>9->3_<>6=0.0/Edge:1_<>4->2_<>5=0.0/Node:10->7=5.5/Node:17->19=0.0/Node:12->9=0.0/Edge:eps_id->6_<>9=0.8250000000000001/Edge:6_<>12->eps_id=0.8250000000000001/Edge:4_<>14->2_<>13=0.0/Node:15->17=0.0/Node:6->11=0.0/Edge:1_<>13->eps_id=0.8250000000000001/Edge:eps_id->7_<>16=0.8250000000000001/Edge:3_<>10->3_<>7=0.0/Edge:1_<>3->eps_id=0.8250000000000001/Node:1->5=0.0/Node:19->15=0.0/Edge:eps_id->1_<>4=0.8250000000000001/Edge:eps_id->1_<>2=0.8250000000000001/Edge:3_<>8->1_<>3=0.0/Node:5->4=0.0/Node:11->8=0.0/Node:14->13=0.0/Edge:eps_id->6_<>14=0.8250000000000001/Edge:12_<>20->eps_id=0.8250000000000001/Edge:eps_id->7_<>15=0.8250000000000001/Edge:2_<>7->10_<>12=0.0/Edge:5_<>11->4_<>8=0.0/Edge:2_<>5->eps_id=0.8250000000000001/Node:18->20=0.0/Node:9->6=5.5/Node:13->14=0.0/Node:7->12=0.0/Edge:12_<>19->eps_id=0.8250000000000001/Edge:11_<>16->8_<>18=0.0/Node:4->2=5.5/Edge:1_<>2->5_<>10=0.0/Node:3->3=0.0/
molecule_3074.gxl;molecule_3409.gxl;20;20;19;20;DepthFirstGED;-;45.375;false;mutagen;mutagen;Node:8->11=0.0/Node:5->7=5.5/Node:2->3=5.5/Edge:1_<>4->eps_id=0.8250000000000001/Node:17->16=0.0/Edge:12_<>19->2_<>14=0.0/Node:14->19=0.0/Node:11->4=0.0/Edge:2_<>6->1_<>3=0.0/Edge:3_<>8->8_<>11=0.0/Edge:5_<>11->4_<>7=0.0/Edge:eps_id->6_<>17=0.8250000000000001/Edge:11_<>17->4_<>16=0.0/Node:7->6=5.5/Node:4->9=5.5/Node:1->10=0.0/Edge:6_<>12->1_<>2=0.0/Node:19->14=0.0/Edge:1_<>3->8_<>10=0.0/Node:16->17=0.0/Edge:12_<>18->eps_id=0.8250000000000001/Node:13->20=0.0/Node:10->12=0.0/Edge:2_<>5->eps_id=0.8250000000000001/Edge:1_<>13->10_<>20=0.0/Edge:3_<>10->eps_id=0.8250000000000001/Edge:12_<>20->2_<>13=0.0/Edge:11_<>16->eps_id=0.8250000000000001/Node:9->5=5.5/Node:6->1=5.5/Node:3->8=0.0/Edge:4_<>14->9_<>19=0.0/Node:18->15=0.0/Node:15->18=0.0/Edge:1_<>2->eps_id=0.8250000000000001/Node:12->2=0.0/Edge:2_<>7->3_<>6=0.0/Edge:3_<>9->5_<>8=0.0/Node:20->13=0.0/Edge:11_<>15->eps_id=0.8250000000000001/
molecule_3074.gxl;molecule_3006.gxl;20;20;19;21;DepthFirstGED;-;55.550;false;mutagen;nonmutagen;Node:2->1=5.5/Edge:1_<>4->10_<>19=0.0/Node:17->14=0.0/Edge:12_<>19->3_<>12=0.0/Node:14->17=0.0/Node:11->6=0.0/Edge:2_<>6->eps_id=0.8250000000000001/Edge:3_<>8->eps_id=0.8250000000000001/Edge:5_<>11->2_<>6=0.0/Edge:eps_id->4_<>13=0.8250000000000001/Edge:11_<>17->6_<>14=0.0/Node:7->4=5.5/Node:4->19=5.5/Node:1->10=0.0/Edge:6_<>12->3_<>7=0.0/Node:19->12=0.0/Edge:1_<>3->9_<>10=0.0/Node:16->15=0.0/Edge:12_<>18->eps_id=0.8250000000000001/Node:13->18=0.0/Node:10->5=5.5/Edge:2_<>5->1_<>2=0.0/Edge:1_<>13->10_<>18=0.0/Edge:3_<>10->5_<>9=0.0/Edge:12_<>20->3_<>11=0.0/Edge:11_<>16->6_<>15=0.0/Node:9->8=5.5/Node:6->7=5.5/Node:3->9=0.0/Edge:4_<>14->eps_id=0.8250000000000001/Node:18->13=0.0/Node:15->16=0.0/Edge:1_<>2->eps_id=0.8250000000000001/Node:12->3=0.0/Edge:2_<>7->1_<>4=0.0/Edge:3_<>9->8_<>9=0.0/Node:20->11=0.0/Edge:11_<>15->eps_id=0.8250000000000001/
molecule_3074.gxl;molecule_3048.gxl;20;20;19;19;Distributed GED;-;28.600;true;mutagen;nonmutagen;Node:12->8=0.0/Edge:eps_id->1_<>2=0.8250000000000001/Edge:4_<>14->eps_id=0.8250000000000001/Node:13->11=0.0/Node:9->20=5.5/Edge:1_<>4->6_<>10=0.0/Edge:11_<>15->7_<>12=0.0/Node:19->16=0.0/Edge:1_<>2->eps_id=0.8250000000000001/Edge:eps_id->2_<>11=0.8250000000000001/Edge:1_<>3->6_<>9=0.0/Edge:2_<>6->1_<>4=0.0/Node:7->5=0.0/Edge:2_<>5->1_<>3=0.0/Node:11->7=0.0/Edge:eps_id->9_<>18=0.8250000000000001/Node:14->18=0.0/Edge:11_<>16->7_<>13=0.0/Node:17->14=0.0/Node:6->4=5.5/Node:2->1=0.0/Edge:1_<>13->eps_id=0.8250000000000001/Edge:6_<>12->4_<>8=0.0/Node:20->17=0.0/Edge:5_<>11->3_<>7=0.0/Node:18->15=0.0/Node:3->9=0.0/Edge:12_<>20->8_<>17=0.0/Node:4->10=0.0/Node:5->3=0.0/Edge:2_<>7->1_<>5=0.0/Edge:12_<>19->8_<>16=0.0/Edge:3_<>9->9_<>20=0.0/Edge:12_<>18->8_<>15=0.0/Node:8->19=5.5/Edge:3_<>8->9_<>19=0.0/Edge:3_<>10->eps_id=0.8250000000000001/Edge:11_<>17->7_<>14=0.0/Node:10->2=5.5/Node:1->6=0.0/Node:15->12=0.0/Node:16->13=0.0/Edge:eps_id->2_<>6=0.8250000000000001/
molecule_3074.gxl;molecule_3054.gxl;20;20;19;19;Distributed GED;-;26.950;true;mutagen;nonmutagen;Edge:4_<>14->eps_id=0.8250000000000001/Edge:5_<>11->3_<>6=0.0/Edge:eps_id->1_<>4=0.8250000000000001/Edge:2_<>7->7_<>9=0.0/Node:6->8=0.0/Node:7->9=0.0/Edge:1_<>4->eps_id=0.8250000000000001/Node:17->17=0.0/Node:19->19=0.0/Node:4->4=0.0/Edge:12_<>19->10_<>19=0.0/Edge:eps_id->1_<>3=0.8250000000000001/Node:2->7=5.5/Edge:3_<>8->1_<>2=0.0/Edge:eps_id->5_<>14=0.8250000000000001/Node:1->5=0.0/Node:20->20=0.0/Edge:12_<>20->10_<>20=0.0/Edge:12_<>18->10_<>18=0.0/Node:5->3=0.0/Edge:2_<>6->7_<>8=0.0/Edge:3_<>9->2_<>11=0.0/Node:10->12=5.5/Node:11->6=0.0/Edge:2_<>5->eps_id=0.8250000000000001/Edge:3_<>10->2_<>12=0.0/Node:13->13=0.0/Node:3->2=0.0/Edge:11_<>16->6_<>16=0.0/Node:9->11=5.5/Node:12->10=0.0/Node:18->18=0.0/Edge:1_<>2->5_<>7=0.0/Node:15->15=0.0/Edge:1_<>3->2_<>5=0.0/Edge:11_<>15->6_<>15=0.0/Edge:11_<>17->6_<>17=0.0/Node:14->14=0.0/Node:16->16=0.0/Edge:6_<>12->8_<>10=0.0/Node:8->1=5.5/Edge:1_<>13->5_<>13=0.0/
molecule_3074.gxl;molecule_3220.gxl;20;20;19;21;BeamSearch GED;100;53.350;false;mutagen;nonmutagen;Edge:eps_id->9_<>10=0.8250000000000001/Edge:1_<>3->6_<>4=0.0/Edge:3_<>10->5_<>4=0.0/Edge:12_<>18->10_<>17=0.0/Node:18->17=0.0/Node:15->20=0.0/Node:20->19=0.0/Node:10->5=5.5/Edge:3_<>9->eps_id=0.8250000000000001/Node:14->16=0.0/Edge:3_<>8->4_<>1=0.0/Node:2->7=5.5/Edge:1_<>4->9_<>6=0.0/Edge:2_<>5->11_<>7=0.0/Node:19->18=0.0/Edge:1_<>13->6_<>15=0.0/Edge:eps_id->8_<>5=0.8250000000000001/Node:4->9=5.5/Node:5->11=5.5/Node:13->15=0.0/Edge:eps_id->2_<>1=0.8250000000000001/Edge:1_<>2->eps_id=0.8250000000000001/Edge:11_<>15->13_<>20=0.0/Edge:eps_id->3_<>14=0.8250000000000001/Edge:4_<>14->9_<>16=0.0/Node:9->8=5.5/Node:17->14=0.0/Edge:6_<>12->eps_id=0.8250000000000001/Edge:5_<>11->13_<>11=0.0/Node:8->1=5.5/Edge:eps_id->3_<>1=0.8250000000000001/Edge:12_<>19->eps_id=0.8250000000000001/Edge:eps_id->7_<>5=0.8250000000000001/Edge:11_<>16->12_<>13=0.0/Edge:11_<>17->eps_id=0.8250000000000001/Node:3->4=0.0/Edge:12_<>20->eps_id=0.8250000000000001/Node:12->10=0.0/Edge:2_<>6->eps_id=0.8250000000000001/Node:6->2=0.0/Edge:eps_id->10_<>7=0.8250000000000001/Edge:eps_id->12_<>19=0.8250000000000001/Edge:eps_id->11_<>18=0.8250000000000001/Edge:2_<>7->eps_id=0.8250000000000001/Edge:eps_id->12_<>8=0.8250000000000001/Node:16->12=5.5/Node:1->6=0.0/Node:11->13=0.0/Node:7->3=0.0/
